Index,DT,A1
1,01/04/20,24.32
2,02/04/20,25.62
3,03/04/20,12.2
4,04/04/20,25.94
5,05/04/20,24.44
6,06/04/20,15.45
7,07/04/20,12.38
8,08/04/20,23.31
9,09/04/20,19.68
10,10/04/20,11.56
11,11/04/20,4.87
12,12/04/20,4.01
13,13/04/20,2.19
14,14/04/20,1.87
15,15/04/20,1.68
16,16/04/20,1.75
17,17/04/20,1.7
18,18/04/20,1
19,19/04/20,0.69
20,20/04/20,0.75
21,21/04/20,0.56
22,22/04/20,0.87
23,23/04/20,1.07
24,24/04/20,2.38
25,25/04/20,1.26
26,26/04/20,1.44
27,27/04/20,1.5
28,28/04/20,1.25
29,29/04/20,1.5
30,30/04/20,0.76
31,01/05/20,0.94
32,02/05/20,0.99
33,03/05/20,1.19
34,04/05/20,1.12
35,05/05/20,2.26
36,06/05/20,1.31
37,07/05/20,1.11
38,08/05/20,1.18
39,09/05/20,1.5
40,10/05/20,1.43
41,11/05/20,1.19
42,12/05/20,1.88
43,13/05/20,2.69
44,14/05/20,1.69
45,15/05/20,2.81
46,16/05/20,2.88
47,17/05/20,1.19
48,18/05/20,1.63
49,19/05/20,3.19
50,20/05/20,3.56
51,21/05/20,3.81
52,22/05/20,3.81
53,23/05/20,14.26
54,24/05/20,20.69
55,25/05/20,18.12
56,26/05/20,24.62
57,27/05/20,17.44
58,28/05/20,29.81
59,29/05/20,27.06
60,30/05/20,31.68
61,31/05/20,27.37
62,01/06/20,30.62
63,02/06/20,22.31
64,03/06/20,31.62
65,04/06/20,18.13
66,05/06/20,25.81
67,06/06/20,24.94
68,07/06/20,33.68
69,08/06/20,3.24
70,09/06/20,3.31
71,10/06/20,3.44
72,11/06/20,34.49
73,12/06/20,23.12
74,13/06/20,4.88
75,14/06/20,3.87
76,15/06/20,2.87
77,16/06/20,3.31
78,17/06/20,3.11
79,18/06/20,4.06
80,19/06/20,3.25
81,20/06/20,3
82,21/06/20,3.07
83,22/06/20,2.94
84,23/06/20,3.76
85,24/06/20,7.62
86,25/06/20,7.44
87,26/06/20,7.56
88,27/06/20,20.32
89,28/06/20,29.76
90,29/06/20,27.38
91,30/06/20,29.89
92,01/07/20,15.13
93,02/07/20,29.19
94,03/07/20,29.81
95,04/07/20,26.87
96,05/07/20,35.68
97,06/07/20,7.92
98,07/07/20,2.8
99,08/07/20,2.44
100,09/07/20,1.88
101,10/07/20,1.94
102,11/07/20,2.19
103,12/07/20,1.62
104,13/07/20,1.87
105,14/07/20,1.74
106,15/07/20,1.8
107,16/07/20,3.18
108,17/07/20,4.81
109,18/07/20,3.94
110,19/07/20,5.81
111,20/07/20,19.13
112,21/07/20,24.26
113,22/07/20,21.94
114,23/07/20,28.8
115,24/07/20,21.62
116,25/07/20,27.76
117,26/07/20,25.37
118,27/07/20,19.63
119,28/07/20,7.74
